advance_payment_id,guarantee_id,deducted_disbursement_id,advance_payment_amount,advance_payment_currency,advance_payment_type,created_at,updated_at
1,1,,100000000.00,KRW,IN,2023-01-31 13:59:19,2023-01-31 13:59:19
2,2,,12000000.00,KRW,IN,2023-01-31 13:59:19,2023-01-31 13:59:19
3,3,,40000000.00,KRW,IN,2023-01-31 13:59:19,2023-01-31 13:59:19
4,4,,14369939.00,KRW,IN,2023-01-31 13:59:20,2023-01-31 13:59:20
5,5,,11443819.00,KRW,IN,2023-01-31 13:59:20,2023-01-31 13:59:20
6,6,,20000000.00,KRW,IN,2023-01-31 13:59:20,2023-01-31 13:59:20
7,7,,60000000.00,KRW,IN,2023-01-31 13:59:20,2023-01-31 13:59:20
8,8,,400000000.00,KRW,IN,2023-01-31 13:59:21,2023-01-31 13:59:21
9,9,,24000000.00,KRW,IN,2023-01-31 13:59:21,2023-01-31 13:59:21
10,10,,20000000.00,KRW,IN,2023-01-31 13:59:21,2023-01-31 13:59:21
11,11,,8000000.00,KRW,IN,2023-01-31 13:59:21,2023-01-31 13:59:21
12,12,,6000000.00,KRW,IN,2023-01-31 13:59:22,2023-01-31 13:59:22
13,13,,16000000.00,KRW,IN,2023-01-31 13:59:22,2023-01-31 13:59:22
14,14,,3000000.00,KRW,IN,2023-01-31 13:59:22,2023-01-31 13:59:22
15,15,,10000000.00,KRW,IN,2023-01-31 13:59:22,2023-01-31 13:59:22
16,16,,8000000.00,KRW,IN,2023-01-31 13:59:22,2023-01-31 13:59:22
17,17,,28000000.00,KRW,IN,2023-01-31 13:59:23,2023-01-31 13:59:23
18,18,,40000000.00,KRW,IN,2023-01-31 13:59:23,2023-01-31 13:59:23
19,19,,2000000.00,KRW,IN,2023-01-31 13:59:23,2023-01-31 13:59:23
20,20,,2000000.00,KRW,IN,2023-01-31 13:59:23,2023-01-31 13:59:23
21,21,,3000000.00,KRW,IN,2023-01-31 13:59:24,2023-01-31 13:59:24
22,22,,8000000.00,KRW,IN,2023-01-31 13:59:24,2023-01-31 13:59:24
23,23,,24000000.00,KRW,IN,2023-01-31 13:59:24,2023-01-31 13:59:24
24,109,,3738000.00,KRW,IN,2023-01-31 13:59:43,2023-01-31 13:59:43
25,110,,935000.00,KRW,IN,2023-01-31 13:59:43,2023-01-31 13:59:43
26,111,,9207261.00,KRW,IN,2023-01-31 13:59:43,2023-01-31 13:59:43
27,112,,1843276.00,KRW,IN,2023-01-31 13:59:43,2023-01-31 13:59:43
28,113,,1492564.00,KRW,IN,2023-01-31 13:59:44,2023-01-31 13:59:44
29,114,,2746257.00,KRW,IN,2023-01-31 13:59:44,2023-01-31 13:59:44
30,115,,3627000.00,KRW,IN,2023-01-31 13:59:44,2023-01-31 13:59:44
31,116,,1346551.00,KRW,IN,2023-01-31 13:59:44,2023-01-31 13:59:44
32,117,,197544.00,KRW,IN,2023-01-31 13:59:45,2023-01-31 13:59:45
33,118,,1770476.00,KRW,IN,2023-01-31 13:59:45,2023-01-31 13:59:45
34,119,,3799994.00,KRW,IN,2023-01-31 13:59:45,2023-01-31 13:59:45
35,120,,2385049.00,KRW,IN,2023-01-31 13:59:46,2023-01-31 13:59:46
36,121,,660000.00,KRW,IN,2023-01-31 13:59:46,2023-01-31 13:59:46
37,122,,2255000.00,KRW,IN,2023-01-31 13:59:46,2023-01-31 13:59:46
38,123,,727500.00,KRW,IN,2023-01-31 13:59:46,2023-01-31 13:59:46
39,124,,2424443.00,KRW,IN,2023-01-31 13:59:47,2023-01-31 13:59:47
40,125,,6700203.00,KRW,IN,2023-01-31 13:59:47,2023-01-31 13:59:47
41,126,,2860000.00,KRW,IN,2023-01-31 13:59:47,2023-01-31 13:59:47
42,127,,1150000.00,KRW,IN,2023-01-31 13:59:48,2023-01-31 13:59:48
43,128,,2160000.00,KRW,IN,2023-01-31 13:59:48,2023-01-31 13:59:48
44,129,,1840000.00,KRW,IN,2023-01-31 13:59:48,2023-01-31 13:59:48
45,130,,2460104.00,KRW,IN,2023-01-31 13:59:48,2023-01-31 13:59:48
46,131,,1815000.00,KRW,IN,2023-01-31 13:59:49,2023-01-31 13:59:49
