advance_payment_id,guarantee_id,deducted_disbursement_id,advance_payment_amount,advance_payment_currency,advance_payment_type,created_at,updated_at
1,1,,100000000.00,KRW,IN,2023-01-31 04:46:01,2023-01-31 04:46:01
2,2,,12000000.00,KRW,IN,2023-01-31 04:46:02,2023-01-31 04:46:02
3,3,,40000000.00,KRW,IN,2023-01-31 04:46:02,2023-01-31 04:46:02
4,4,,14369939.00,KRW,IN,2023-01-31 04:46:02,2023-01-31 04:46:02
5,5,,11443819.00,KRW,IN,2023-01-31 04:46:02,2023-01-31 04:46:02
6,6,,20000000.00,KRW,IN,2023-01-31 04:46:03,2023-01-31 04:46:03
7,7,,60000000.00,KRW,IN,2023-01-31 04:46:03,2023-01-31 04:46:03
8,8,,400000000.00,KRW,IN,2023-01-31 04:46:03,2023-01-31 04:46:03
9,9,,24000000.00,KRW,IN,2023-01-31 04:46:03,2023-01-31 04:46:03
10,10,,20000000.00,KRW,IN,2023-01-31 04:46:04,2023-01-31 04:46:04
11,11,,8000000.00,KRW,IN,2023-01-31 04:46:04,2023-01-31 04:46:04
12,12,,6000000.00,KRW,IN,2023-01-31 04:47:19,2023-01-31 04:47:19
13,13,,16000000.00,KRW,IN,2023-01-31 04:47:19,2023-01-31 04:47:19
14,14,,3000000.00,KRW,IN,2023-01-31 04:47:19,2023-01-31 04:47:19
15,15,,10000000.00,KRW,IN,2023-01-31 04:47:20,2023-01-31 04:47:20
16,16,,8000000.00,KRW,IN,2023-01-31 04:47:20,2023-01-31 04:47:20
17,17,,28000000.00,KRW,IN,2023-01-31 04:47:20,2023-01-31 04:47:20
18,18,,40000000.00,KRW,IN,2023-01-31 04:47:20,2023-01-31 04:47:20
19,19,,2000000.00,KRW,IN,2023-01-31 04:47:21,2023-01-31 04:47:21
20,20,,2000000.00,KRW,IN,2023-01-31 04:47:21,2023-01-31 04:47:21
21,21,,3000000.00,KRW,IN,2023-01-31 04:47:21,2023-01-31 04:47:21
22,22,,8000000.00,KRW,IN,2023-01-31 04:47:21,2023-01-31 04:47:21
23,23,,24000000.00,KRW,IN,2023-01-31 04:47:22,2023-01-31 04:47:22
24,109,,3738000.00,KRW,IN,2023-01-31 04:47:39,2023-01-31 04:47:39
25,110,,935000.00,KRW,IN,2023-01-31 04:47:39,2023-01-31 04:47:39
26,111,,9207261.00,KRW,IN,2023-01-31 04:47:40,2023-01-31 04:47:40
27,112,,1843276.00,KRW,IN,2023-01-31 04:47:40,2023-01-31 04:47:40
28,113,,1492564.00,KRW,IN,2023-01-31 04:47:40,2023-01-31 04:47:40
29,114,,2746257.00,KRW,IN,2023-01-31 04:47:40,2023-01-31 04:47:40
30,115,,3627000.00,KRW,IN,2023-01-31 04:47:40,2023-01-31 04:47:40
31,116,,1346551.00,KRW,IN,2023-01-31 04:47:41,2023-01-31 04:47:41
32,117,,197544.00,KRW,IN,2023-01-31 04:47:41,2023-01-31 04:47:41
33,118,,1770476.00,KRW,IN,2023-01-31 04:47:41,2023-01-31 04:47:41
34,119,,3799994.00,KRW,IN,2023-01-31 04:47:41,2023-01-31 04:47:41
35,120,,2385049.00,KRW,IN,2023-01-31 04:47:42,2023-01-31 04:47:42
36,121,,660000.00,KRW,IN,2023-01-31 04:47:42,2023-01-31 04:47:42
37,122,,2255000.00,KRW,IN,2023-01-31 04:47:42,2023-01-31 04:47:42
38,123,,727500.00,KRW,IN,2023-01-31 04:47:42,2023-01-31 04:47:42
39,124,,2424443.00,KRW,IN,2023-01-31 04:47:43,2023-01-31 04:47:43
40,125,,6700203.00,KRW,IN,2023-01-31 04:47:43,2023-01-31 04:47:43
41,126,,2860000.00,KRW,IN,2023-01-31 04:47:43,2023-01-31 04:47:43
42,127,,1150000.00,KRW,IN,2023-01-31 04:47:43,2023-01-31 04:47:43
43,128,,2160000.00,KRW,IN,2023-01-31 04:47:43,2023-01-31 04:47:43
44,129,,1840000.00,KRW,IN,2023-01-31 04:47:44,2023-01-31 04:47:44
45,130,,2460104.00,KRW,IN,2023-01-31 04:47:44,2023-01-31 04:47:44
46,131,,1815000.00,KRW,IN,2023-01-31 04:47:44,2023-01-31 04:47:44
47,132,,3150000.00,KRW,IN,2023-01-31 04:47:44,2023-01-31 04:47:44
48,133,,2810000.00,KRW,IN,2023-01-31 04:47:45,2023-01-31 04:47:45
49,134,,2980000.00,KRW,IN,2023-01-31 04:47:45,2023-01-31 04:47:45
50,135,,9385730.00,KRW,IN,2023-01-31 04:47:45,2023-01-31 04:47:45
51,136,,5724685.00,KRW,IN,2023-01-31 04:47:45,2023-01-31 04:47:45
52,137,,20100000.00,KRW,IN,2023-01-31 04:47:46,2023-01-31 04:47:46
53,138,,6030918.00,KRW,IN,2023-01-31 04:47:46,2023-01-31 04:47:46
54,139,,2930000.00,KRW,IN,2023-01-31 04:47:46,2023-01-31 04:47:46
55,140,,298119.00,KRW,IN,2023-01-31 04:47:46,2023-01-31 04:47:46
56,141,,930349.00,KRW,IN,2023-01-31 04:47:47,2023-01-31 04:47:47
57,142,,196404.00,KRW,IN,2023-01-31 04:47:48,2023-01-31 04:47:48
58,143,,150947.00,KRW,IN,2023-01-31 04:47:48,2023-01-31 04:47:48
59,144,,28499950.00,KRW,IN,2023-01-31 04:47:48,2023-01-31 04:47:48
60,225,,10000000.00,KRW,IN,2023-01-31 04:48:06,2023-01-31 04:48:06
61,226,,5000000.00,KRW,IN,2023-01-31 04:48:06,2023-01-31 04:48:06
62,227,,10000000.00,KRW,IN,2023-01-31 04:48:06,2023-01-31 04:48:06
63,228,,3000000.00,KRW,IN,2023-01-31 04:48:06,2023-01-31 04:48:06
64,229,,20000000.00,KRW,IN,2023-01-31 04:48:07,2023-01-31 04:48:07
65,230,,7000000.00,KRW,IN,2023-01-31 04:48:07,2023-01-31 04:48:07
66,231,,5000000.00,KRW,IN,2023-01-31 04:48:07,2023-01-31 04:48:07
67,232,,8000000.00,KRW,IN,2023-01-31 04:48:08,2023-01-31 04:48:08
68,233,,3000000.00,KRW,IN,2023-01-31 04:48:08,2023-01-31 04:48:08
69,234,,5500000.00,KRW,IN,2023-01-31 04:48:08,2023-01-31 04:48:08
70,235,,10000000.00,KRW,IN,2023-01-31 04:48:09,2023-01-31 04:48:09
71,236,,12000000.00,KRW,IN,2023-01-31 04:48:09,2023-01-31 04:48:09
72,237,,5000000.00,KRW,IN,2023-01-31 04:48:09,2023-01-31 04:48:09
73,238,,15000000.00,KRW,IN,2023-01-31 04:48:09,2023-01-31 04:48:09
74,239,,30000000.00,KRW,IN,2023-01-31 04:48:10,2023-01-31 04:48:10
75,240,,8000000.00,KRW,IN,2023-01-31 04:48:10,2023-01-31 04:48:10
76,241,,3150000.00,KRW,IN,2023-01-31 04:48:10,2023-01-31 04:48:10
77,242,,20000000.00,KRW,IN,2023-01-31 04:48:11,2023-01-31 04:48:11
78,243,,15000000.00,KRW,IN,2023-01-31 04:48:11,2023-01-31 04:48:11
79,244,,3000000.00,KRW,IN,2023-01-31 04:48:11,2023-01-31 04:48:11
80,250,,5000000.00,KRW,IN,2023-01-31 04:48:12,2023-01-31 04:48:12
81,251,,5000000.00,KRW,IN,2023-01-31 04:48:13,2023-01-31 04:48:13
82,255,,13180270.00,KRW,IN,2023-01-31 04:48:14,2023-01-31 04:48:14
83,256,,1704000.00,KRW,IN,2023-01-31 04:48:14,2023-01-31 04:48:14
84,257,,60000000.00,KRW,IN,2023-01-31 04:48:14,2023-01-31 04:48:14
85,259,,3000000.00,KRW,IN,2023-01-31 04:48:15,2023-01-31 04:48:15
86,274,,2000.00,USD,IN,2023-01-31 04:48:18,2023-01-31 04:48:18
87,275,,6000.00,USD,IN,2023-01-31 04:48:18,2023-01-31 04:48:18
88,276,,4000.00,USD,IN,2023-01-31 04:48:18,2023-01-31 04:48:18
89,277,,4279980.00,KRW,IN,2023-01-31 04:48:19,2023-01-31 04:48:19
90,278,,10000.00,USD,IN,2023-01-31 04:48:19,2023-01-31 04:48:19
91,279,,4000.00,USD,IN,2023-01-31 04:48:19,2023-01-31 04:48:19
92,280,,3100.00,USD,IN,2023-01-31 04:48:20,2023-01-31 04:48:20
93,281,,3000.00,USD,IN,2023-01-31 04:48:20,2023-01-31 04:48:20
94,282,,2500.00,USD,IN,2023-01-31 04:48:20,2023-01-31 04:48:20
95,283,,2500.00,USD,IN,2023-01-31 04:48:21,2023-01-31 04:48:21
96,284,,2500.00,USD,IN,2023-01-31 04:48:22,2023-01-31 04:48:22
97,285,,2000.00,USD,IN,2023-01-31 04:48:22,2023-01-31 04:48:22
98,286,,2000.00,USD,IN,2023-01-31 04:48:22,2023-01-31 04:48:22
99,287,,4000.00,USD,IN,2023-01-31 04:48:23,2023-01-31 04:48:23
100,288,,4800.00,USD,IN,2023-01-31 04:48:23,2023-01-31 04:48:23
101,289,,2000.00,USD,IN,2023-01-31 04:48:23,2023-01-31 04:48:23
102,290,,1400.00,USD,IN,2023-01-31 04:48:23,2023-01-31 04:48:23
103,291,,720.00,USD,IN,2023-01-31 04:48:24,2023-01-31 04:48:24
104,292,,770.00,USD,IN,2023-01-31 04:48:24,2023-01-31 04:48:24
105,293,,1600.00,USD,IN,2023-01-31 04:48:24,2023-01-31 04:48:24
106,294,,330.00,USD,IN,2023-01-31 04:48:25,2023-01-31 04:48:25
107,295,,1720.00,USD,IN,2023-01-31 04:48:25,2023-01-31 04:48:25
108,296,,500.00,USD,IN,2023-01-31 04:48:25,2023-01-31 04:48:25
109,297,,250.00,USD,IN,2023-01-31 04:48:26,2023-01-31 04:48:26
110,298,,100.00,USD,IN,2023-01-31 04:48:26,2023-01-31 04:48:26
111,299,,3500.00,USD,IN,2023-01-31 04:48:26,2023-01-31 04:48:26
112,300,,35000.00,JPY,IN,2023-01-31 04:48:26,2023-01-31 04:48:26
113,301,,29000.00,JPY,IN,2023-01-31 04:48:27,2023-01-31 04:48:27
114,302,,47000.00,JPY,IN,2023-01-31 04:48:28,2023-01-31 04:48:28
115,303,,32000.00,JPY,IN,2023-01-31 04:48:28,2023-01-31 04:48:28
116,304,,86000.00,JPY,IN,2023-01-31 04:48:28,2023-01-31 04:48:28
117,305,,125000.00,JPY,IN,2023-01-31 04:48:28,2023-01-31 04:48:28
118,306,,172000.00,JPY,IN,2023-01-31 04:48:29,2023-01-31 04:48:29
119,307,,92108.00,JPY,IN,2023-01-31 04:48:29,2023-01-31 04:48:29
120,308,,20000.00,JPY,IN,2023-01-31 04:48:29,2023-01-31 04:48:29
121,309,,107000.00,JPY,IN,2023-01-31 04:48:30,2023-01-31 04:48:30
122,310,,65000.00,JPY,IN,2023-01-31 04:48:30,2023-01-31 04:48:30
123,311,,125000.00,JPY,IN,2023-01-31 04:48:30,2023-01-31 04:48:30
124,312,,77000.00,JPY,IN,2023-01-31 04:48:31,2023-01-31 04:48:31
125,313,,173000.00,JPY,IN,2023-01-31 04:48:31,2023-01-31 04:48:31
126,314,,11000.00,JPY,IN,2023-01-31 04:48:31,2023-01-31 04:48:31
127,315,,146000.00,JPY,IN,2023-01-31 04:48:31,2023-01-31 04:48:31
128,316,,80000.00,JPY,IN,2023-01-31 04:48:32,2023-01-31 04:48:32
129,317,,142000.00,JPY,IN,2023-01-31 04:48:32,2023-01-31 04:48:32
130,318,,62000.00,JPY,IN,2023-01-31 04:48:32,2023-01-31 04:48:32
131,319,,134000.00,JPY,IN,2023-01-31 04:48:33,2023-01-31 04:48:33
132,320,,155000.00,JPY,IN,2023-01-31 04:48:33,2023-01-31 04:48:33
