disbursement_id,primary_token,disbursement_type,origin_disbursement_amount,budget_disbursement_amount,currency,budget_type,disbursement_status,exchange_month,external_token,receipt_token,store_id,transaction_id,register_by,updated_by,created_at,updated_at
1,63d91d4351aeeb5211e917b4,GUARANTEE,100000000.00,100000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_ADDSS9R88YB5xMc,,612331c5c96c33001402a8a2,LSB7T3S3Q3GQ5KMB,DAVID,DAVID,2023-01-31 13:53:08,2023-01-31 13:53:08
2,63d91d431813d75ad935a705,GUARANTEE,12000000.00,12000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_BDg8tyUQ96bHumU,,5e7c7037404bab37918fb999,MMREWF6DKQDXD4FX,DAVID,DAVID,2023-01-31 13:53:08,2023-01-31 13:53:08
3,63d91d441813d75ad935a706,GUARANTEE,40000000.00,40000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_xwNxldfdOibEKG9,,603494c215a69000141a48f4,ZXTXYCGB2RQGPDGW,DAVID,DAVID,2023-01-31 13:53:08,2023-01-31 13:53:08
4,63d91d441813d75ad935a707,GUARANTEE,12000000.00,12000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_5TtwiMwqJP1sTuY,,603fa00d029fd2000e0532d1,W54YYNJS4P4BKNFM,DAVID,DAVID,2023-01-31 13:53:09,2023-01-31 13:53:09
5,63d91d441813d75ad935a708,GUARANTEE,8000000.00,8000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_LArMQGZdTin7UEe,,604783fbb51f020015383f48,3RFJZZEZO3EVLCOR,DAVID,DAVID,2023-01-31 13:53:09,2023-01-31 13:53:09
6,63d91d451813d75ad935a709,GUARANTEE,20000000.00,20000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_AhFJgWw1BOi5UwC,,603fb8dee2da390015e37875,TVIHOGS6FRK3H7TN,DAVID,DAVID,2023-01-31 13:53:09,2023-01-31 13:53:09
7,63d91d4551aeeb5211e917b5,GUARANTEE,45000000.00,45000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_ZeZu3rVlhtE1HDx,,6232d4947456cc000d211875,GB7DQ26DCISAORVQ,DAVID,DAVID,2023-01-31 13:53:09,2023-01-31 13:53:09
8,63d91d451813d75ad935a70a,GUARANTEE,80000000.00,80000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_hFhpGH2KtB32Z4e,,628382e8e89e480015df24e8,QVGRYFIGCOQG6FKS,DAVID,DAVID,2023-01-31 13:53:10,2023-01-31 13:53:10
9,63d91d4551aeeb5211e917b6,GUARANTEE,18000000.00,18000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_Ptsqo97MxndY5OE,,61e7953a4cb71000148b7b5f,CY5JT7VJUAD3DSYD,DAVID,DAVID,2023-01-31 13:53:10,2023-01-31 13:53:10
10,63d91d4651aeeb5211e917b7,GUARANTEE,20000000.00,20000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_99nHPX6L0UljNpv,,623ad0abdf9e29001391fbe4,QX57CVIDPIMIRPVN,DAVID,DAVID,2023-01-31 13:53:10,2023-01-31 13:53:10
