disbursement_id,primary_token,disbursement_type,origin_disbursement_amount,budget_disbursement_amount,currency,budget_type,disbursement_status,exchange_month,external_token,receipt_token,store_id,transaction_id,register_by,updated_by,created_at,updated_at
1,63d89c928bc1767444d11ab7,GUARANTEE,100000000.00,100000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_Rs7vgX4KIAzucVa,,612331c5c96c33001402a8a2,HMYDF7K2BDEFTE4H,DAVID,DAVID,2023-01-31 04:44:03,2023-01-31 04:44:03
2,63d89c938bc1767444d11ab8,GUARANTEE,12000000.00,12000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_bnUWyRBJsRqZpvQ,,5e7c7037404bab37918fb999,GZFE2WUMBVOLT54J,DAVID,DAVID,2023-01-31 04:44:04,2023-01-31 04:44:04
3,63d89c948bc1767444d11ab9,GUARANTEE,40000000.00,40000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_FvbSTX3TpknCgA5,,603494c215a69000141a48f4,FSVZ5J3PGYY4VTWD,DAVID,DAVID,2023-01-31 04:44:04,2023-01-31 04:44:04
4,63d89c948bc1767444d11aba,GUARANTEE,12000000.00,12000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_S0eYwYRWOoFVM7f,,603fa00d029fd2000e0532d1,N5QEGAIMNGR2ZCXE,DAVID,DAVID,2023-01-31 04:44:04,2023-01-31 04:44:04
5,63d89c948bc1767444d11abb,GUARANTEE,8000000.00,8000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_oWYfs1RTbDxA52t,,604783fbb51f020015383f48,SWMDD4X67DXIAUPR,DAVID,DAVID,2023-01-31 04:44:05,2023-01-31 04:44:05
6,63d89c948bc1767444d11abc,GUARANTEE,20000000.00,20000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_Nk0vyqpaSAHK6gJ,,603fb8dee2da390015e37875,2J4PNAITU3JRUL2Z,DAVID,DAVID,2023-01-31 04:44:05,2023-01-31 04:44:05
7,63d89c958bc1767444d11abd,GUARANTEE,45000000.00,45000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_pzNaa9JiC1QN7E7,,6232d4947456cc000d211875,BOIRFGOZNWOMDYMD,DAVID,DAVID,2023-01-31 04:44:05,2023-01-31 04:44:05
8,63d89c958bc1767444d11abe,GUARANTEE,80000000.00,80000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_PUz5FL5Bh9JmMMW,,628382e8e89e480015df24e8,5LPWZYXFBMQOX7BI,DAVID,DAVID,2023-01-31 04:44:06,2023-01-31 04:44:06
9,63d89c958bc1767444d11abf,GUARANTEE,18000000.00,18000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_y6cOHzE1QVwegEQ,,61e7953a4cb71000148b7b5f,5QTZOQUIAULYQD5B,DAVID,DAVID,2023-01-31 04:44:06,2023-01-31 04:44:06
10,63d89c968bc1767444d11ac0,GUARANTEE,20000000.00,20000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_luQvcWuifn0PoOg,,623ad0abdf9e29001391fbe4,H6EAMMHQDYE47D32,DAVID,DAVID,2023-01-31 04:44:06,2023-01-31 04:44:06
11,63d89c968bc1767444d11ac1,GUARANTEE,6000000.00,6000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_dIfxck0L2HCII6Y,,632183665435f6000f7b28e2,2WIDP5MRSFJZFQYJ,DAVID,DAVID,2023-01-31 04:44:06,2023-01-31 04:44:06
12,63d89c968bc1767444d11ac2,GUARANTEE,4500000.00,4500000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_kvVcdJ14KrLIbv0,,5f16b35e7b86c30de421f953,SXRW2YSVWBU7OVCQ,DAVID,DAVID,2023-01-31 04:44:07,2023-01-31 04:44:07
13,63d89c978bc1767444d11ac3,GUARANTEE,12000000.00,12000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_wWMCKfbL4P63OLr,,61fddf5a47fb97001454d023,TAD6FPMIP5T556SY,DAVID,DAVID,2023-01-31 04:44:07,2023-01-31 04:44:07
14,63d89c978bc1767444d11ac4,GUARANTEE,3000000.00,3000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_gPEt4nAu2VHkBJP,,6114cb23fbd8570014a9ee8c,MBCHTFH6VZYLOD5V,DAVID,DAVID,2023-01-31 04:44:07,2023-01-31 04:44:07
15,63d89c978bc1767444d11ac5,GUARANTEE,7500000.00,7500000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_IhHhqKhR4a7YvW7,,62ce0a634c9b9e000e37e657,DJTGGIE7JLD7PRPD,DAVID,DAVID,2023-01-31 04:44:08,2023-01-31 04:44:08
16,63d89c978bc1767444d11ac6,GUARANTEE,4000000.00,4000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_irHfqfd53OEl7X0,,60ff7ec554499f000d8967b0,6CPPPYIFEDJB326X,DAVID,DAVID,2023-01-31 04:44:08,2023-01-31 04:44:08
17,63d89c988bc1767444d11ac7,GUARANTEE,28000000.00,28000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_GkuQCsFml6ATTjp,,5ebc9eab395b810f5fff2926,DMGNZXQXEGOUCJSS,DAVID,DAVID,2023-01-31 04:44:08,2023-01-31 04:44:08
18,63d89c988bc1767444d11ac8,GUARANTEE,20000000.00,20000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_dnFkxVsHIKbPQe0,,6090bd5c93cea9000eac2ef5,JKVNWYN45BNRDD3H,DAVID,DAVID,2023-01-31 04:44:09,2023-01-31 04:44:09
19,63d89c988bc1767444d11ac9,GUARANTEE,1500000.00,1500000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_QeaPA5A3N32FS5B,,60f1308bc69381001510783a,ZYTUJNG4PGJECNBW,DAVID,DAVID,2023-01-31 04:44:09,2023-01-31 04:44:09
20,63d89c998bc1767444d11aca,GUARANTEE,2000000.00,2000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_3TrBVk1J49kymgU,,6330f0db3d0f1d000e4c8c01,7QX42W2KPHWLBJRM,DAVID,DAVID,2023-01-31 04:44:09,2023-01-31 04:44:09
21,63d89c998bc1767444d11acb,GUARANTEE,3000000.00,3000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_Rgy8Kq3EVlR0mcC,,62d93290b5fed6000e5e1cd8,PY5NHC35PIVSBIIQ,DAVID,DAVID,2023-01-31 04:44:09,2023-01-31 04:44:09
22,63d89c998bc1767444d11acc,GUARANTEE,4000000.00,4000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_70aiULOdcRtlGHI,,5e5382a0169295408735b8e4,YLPJA2NCB2Y2MYSN,DAVID,DAVID,2023-01-31 04:44:10,2023-01-31 04:44:10
23,63d89c9a8bc1767444d11acd,GUARANTEE,8000000.00,8000000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_zoLkw9pgfB4MMzT,,5f55d3163d49e3000cbefc09,M4GHVVAVI5BMRDWB,DAVID,DAVID,2023-01-31 04:44:10,2023-01-31 04:44:10
24,63d89cad8bc1767444d11ace,GUARANTEE,3738000.00,3738000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_2lfgoTTHTKyz4Ca,,5cde40027edba406a95d4d13,LHO4G3KYNN3LNTAC,DAVID,DAVID,2023-01-31 04:44:29,2023-01-31 04:44:29
25,63d89cad8bc1767444d11acf,GUARANTEE,935000.00,935000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_CJ8WFjsKs97c6Ym,,5ecdfa35616acb397b72982c,OLCJJY6LRLGTL4CV,DAVID,DAVID,2023-01-31 04:44:29,2023-01-31 04:44:29
26,63d89cad8bc1767444d11ad0,GUARANTEE,9207261.00,9207261.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_AtBjgxn8gQQYwHW,,5d1777ef59e3e00d3f98ce04,X3PJQLICG6E5VTYC,DAVID,DAVID,2023-01-31 04:44:30,2023-01-31 04:44:30
27,63d89cad8bc1767444d11ad1,GUARANTEE,1843276.00,1843276.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_V8QZJ8YaUwpS8LI,,5ce7ab3772680c0d087005c0,MWYYOCUQLBYY6EPY,DAVID,DAVID,2023-01-31 04:44:30,2023-01-31 04:44:30
28,63d89cae8bc1767444d11ad2,GUARANTEE,1492564.00,1492564.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_LU0HBUeuV51XPBZ,,5d08e82caa589524618d002c,RHHYQ4YGMEQS7LNR,DAVID,DAVID,2023-01-31 04:44:30,2023-01-31 04:44:30
29,63d89cae8bc1767444d11ad3,GUARANTEE,2746257.00,2746257.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_vG7qYCb4dBvDtgQ,,5cef940dd7814a07dd7b1f5c,UXKTIMPQYV6PWXA4,DAVID,DAVID,2023-01-31 04:44:31,2023-01-31 04:44:31
30,63d89cae8bc1767444d11ad4,GUARANTEE,3627000.00,3627000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_Q9NSrgqu3RZhp92,,5cf4a385d9c2cc750c9acb7f,HDWWVQOJAB2IIG5D,DAVID,DAVID,2023-01-31 04:44:31,2023-01-31 04:44:31
31,63d89caf8bc1767444d11ad5,GUARANTEE,1346551.00,1346551.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_fapmxdqfQtRaTHx,,5d1035d9d3628e05977f5dac,KITGZNGABEWWGOOU,DAVID,DAVID,2023-01-31 04:44:31,2023-01-31 04:44:31
32,63d89caf8bc1767444d11ad6,GUARANTEE,197544.00,197544.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_ReW948aUWegvtd9,,5d3f17c6581899597b56e543,WYYPQOMDUKRJIQBO,DAVID,DAVID,2023-01-31 04:44:31,2023-01-31 04:44:31
33,63d89caf8bc1767444d11ad7,GUARANTEE,1770476.00,1770476.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_zrLXypLoWBqg9Rn,,5ddcb76886681a12878b7f26,YDLLEEDWJ43MH7RE,DAVID,DAVID,2023-01-31 04:44:32,2023-01-31 04:44:32
34,63d89cb08bc1767444d11ad8,GUARANTEE,3799994.00,3799994.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_ihKpyoUTnCKxAgC,,5df325de141f8109ccc256f5,CCFD5B4BWGBIZBZH,DAVID,DAVID,2023-01-31 04:44:32,2023-01-31 04:44:32
35,63d89cb08bc1767444d11ad9,GUARANTEE,2385049.00,2385049.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_VokwSHM9C05K5HG,,5e7c875fcc3b35378bc088ef,V6NXGIFR6RWVUZRI,DAVID,DAVID,2023-01-31 04:44:32,2023-01-31 04:44:32
36,63d89cb08bc1767444d11ada,GUARANTEE,660000.00,660000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_QBlLxHBRbUZljOg,,5ec47c64e148fa68726dea31,5FAURPLOHRQJE46G,DAVID,DAVID,2023-01-31 04:44:33,2023-01-31 04:44:33
37,63d89cb08bc1767444d11adb,GUARANTEE,2255000.00,2255000.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_GIHmropARdgmBvb,,5ec3fa8ed2afa60dd6f40e6d,M77NVPZP4T2TACWG,DAVID,DAVID,2023-01-31 04:44:33,2023-01-31 04:44:33
38,63d89cb18bc1767444d11adc,GUARANTEE,727500.00,727500.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_TINKopEhRCW7bFD,,5ed84a985b21916d3432a2f2,TTIL4LR56ZUNDTZ5,DAVID,DAVID,2023-01-31 04:44:33,2023-01-31 04:44:33
39,63d89cb18bc1767444d11add,GUARANTEE,2424443.00,2424443.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_b0Qup5vy4oZYOpZ,,5eead4553848fd4b00a7bf42,NVDNE5P47AN3ZDB6,DAVID,DAVID,2023-01-31 04:44:34,2023-01-31 04:44:34
40,63d89cb18bc1767444d11ade,GUARANTEE,6700203.00,6700203.00,KRW,DISBURSEMENT,CREATED,202211,GUARANTEE_Q31rR9nfoceS8lH,,5f0d743fc607c80dabb9b5d8,3X3DIZVRWCFN46VX,DAVID,DAVID,2023-01-31 04:44:34,2023-01-31 04:44:34
