guarantee_id,guarantee_code,store_id,klass_id,guarantee_contract_type,guarantee_pay_type,guarantee_status,guarantee_memo,guarantee_currency,guarantee_total,remaining_guarantee,min_guarantee_per_month,fixed_guarantee_per_month,max_deduction,max_deduction_per_month,guarantee_start_date,guarantee_end_date,deduction_start_date,deduction_end_date,created_by,updated_by,created_at,updated_at
376,GUARANTEE_eFcggLxwzkmXpOy,612331c5c96c33001402a8a2,60fe3b45cd56a4000da7172c,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,100000000.00,100000000.00,,25000000.00,,12500000.00,2022-08-31 15:00:00,2022-11-30 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:03,2023-01-31 13:39:03
377,GUARANTEE_zjuaoHYGh7AWk0p,5e7c7037404bab37918fb999,5e3bbe5cf7dfdb0d871736bd,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,12000000.00,12000000.00,,3000000.00,,1500000.00,2022-08-31 15:00:00,2022-11-30 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:04,2023-01-31 13:39:04
378,GUARANTEE_5cf1lMWh5MPXSWc,603494c215a69000141a48f4,602df2fed88cc70014fd926e,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,40000000.00,40000000.00,,10000000.00,,5000000.00,2022-08-31 15:00:00,2022-11-30 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:04,2023-01-31 13:39:04
379,GUARANTEE_ZLNDEnABuQi8L39,603fa00d029fd2000e0532d1,5fc08cbd327152000dd03e5b,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,15000000.00,14369939.00,,3000000.00,,,2022-08-31 15:00:00,2022-12-31 15:00:00,2022-09-30 15:00:00,2023-01-31 15:00:00,,,2023-01-31 13:39:04,2023-01-31 13:39:04
380,GUARANTEE_dG2ykqOFdYJzpKL,604783fbb51f020015383f48,60238275543d8f00159133d3,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,12000000.00,11443819.00,,2000000.00,,,2022-08-31 15:00:00,2023-01-31 15:00:00,2022-09-30 15:00:00,2023-02-28 15:00:00,,,2023-01-31 13:39:04,2023-01-31 13:39:04
381,GUARANTEE_Qt0kH0C4ZI7sTm2,603fb8dee2da390015e37875,601e2de285946a000d5530ff,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,20000000.00,20000000.00,,5000000.00,,2500000.00,2022-08-31 15:00:00,2022-11-30 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:05,2023-01-31 13:39:05
382,GUARANTEE_nd3B9bBpep4wfh8,6232d4947456cc000d211875,6215cf62578efc000e314d83,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,60000000.00,60000000.00,,15000000.00,,7000000.00,2022-09-30 15:00:00,2022-12-31 15:00:00,2023-05-31 15:00:00,,,,2023-01-31 13:39:05,2023-01-31 13:39:05
383,GUARANTEE_JUj4NPBni3hllVX,628382e8e89e480015df24e8,627ca2501c4dcb000f2fac4e,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,400000000.00,400000000.00,,80000000.00,,80000000.00,2022-11-30 15:00:00,2023-03-31 15:00:00,2023-05-31 15:00:00,,,,2023-01-31 13:39:05,2023-01-31 13:39:05
384,GUARANTEE_esfIBsQUnFX4esp,61e7953a4cb71000148b7b5f,61df568d1625f1000d621f76,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,24000000.00,24000000.00,,6000000.00,,3000000.00,2022-09-30 15:00:00,2022-12-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:06,2023-01-31 13:39:06
385,GUARANTEE_BbY6OrhVzcb1VZ2,623ad0abdf9e29001391fbe4,6232fcd135fd80000d279192,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,20000000.00,20000000.00,,5000000.00,,1000000.00,2022-08-31 15:00:00,2022-11-30 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:06,2023-01-31 13:39:06
386,GUARANTEE_OK2F8mJhshupQqc,632183665435f6000f7b28e2,6303500e250d0900168bd6a1,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,8000000.00,8000000.00,,2000000.00,,1000000.00,2022-09-30 15:00:00,2022-12-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:06,2023-01-31 13:39:06
387,GUARANTEE_4naIPxWjVniJEm8,5f16b35e7b86c30de421f953,5eff4b9e7ed31930a4652d8d,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,6000000.00,6000000.00,,1500000.00,,500000.00,2022-09-30 15:00:00,2022-12-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:06,2023-01-31 13:39:06
388,GUARANTEE_3krdQOaHNlFqOtH,61fddf5a47fb97001454d023,61f432c8b5633300146e240d,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,16000000.00,16000000.00,,4000000.00,,2000000.00,2022-09-30 15:00:00,2022-12-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:07,2023-01-31 13:39:07
389,GUARANTEE_D4UY6vCy0bX8jpY,6114cb23fbd8570014a9ee8c,60dc603dc55e040015cd713b,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,3000000.00,3000000.00,,3000000.00,,1500000.00,2022-09-30 15:00:00,2022-09-30 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:07,2023-01-31 13:39:07
390,GUARANTEE_9RUhPdw5punSFbx,62ce0a634c9b9e000e37e657,62873e2771b24a0015265ffe,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,10000000.00,10000000.00,,2500000.00,,1200000.00,2022-09-30 15:00:00,2022-12-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:07,2023-01-31 13:39:07
391,GUARANTEE_P30hLtGZMIor1Qp,60ff7ec554499f000d8967b0,60e11d48aeeab1000e849f07,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,8000000.00,8000000.00,,2000000.00,,1000000.00,2022-10-31 15:00:00,2023-01-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:08,2023-01-31 13:39:08
392,GUARANTEE_3ldF2sYo6ip5ugE,5ebc9eab395b810f5fff2926,5e854af445c476722d1ed7c6,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,28000000.00,28000000.00,,28000000.00,,5000000.00,2022-09-30 15:00:00,2022-09-30 15:00:00,2023-04-30 15:00:00,,,,2023-01-31 13:39:08,2023-01-31 13:39:08
393,GUARANTEE_9KbsqXcH4KIMexH,6090bd5c93cea9000eac2ef5,6059f5a5df0d66000e2d1e3d,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,40000000.00,40000000.00,,10000000.00,,0.00,2022-10-31 15:00:00,2023-01-31 15:00:00,,,,,2023-01-31 13:39:08,2023-01-31 13:39:08
394,GUARANTEE_atBP7o1wskQo3dT,60f1308bc69381001510783a,60e3f9fdf7feba00157da4dc,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,2000000.00,2000000.00,,500000.00,,250000.00,2022-09-30 15:00:00,2022-12-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:08,2023-01-31 13:39:08
395,GUARANTEE_tyS1Hpcy2kFQ8vu,6330f0db3d0f1d000e4c8c01,62ce574d474d0b0015b15b8c,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,2000000.00,2000000.00,,2000000.00,,1000000.00,2022-10-31 15:00:00,2022-10-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:09,2023-01-31 13:39:09
396,GUARANTEE_EIb9nGRfrH0pfbG,62d93290b5fed6000e5e1cd8,6284c5a06b2d9a000e8c4ad6,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,3000000.00,3000000.00,,3000000.00,,1500000.00,2022-10-31 15:00:00,2022-10-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:09,2023-01-31 13:39:09
397,GUARANTEE_D8n6uvkGdbCTXmU,5e5382a0169295408735b8e4,5de754e95d380e0da49566ae,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,8000000.00,8000000.00,,2000000.00,,1000000.00,2022-10-31 15:00:00,2023-01-31 15:00:00,2023-03-31 15:00:00,,,,2023-01-31 13:39:09,2023-01-31 13:39:09
398,GUARANTEE_frvnZ4egHxYSW3O,5f55d3163d49e3000cbefc09,5f54f4c556dc5b0024d3f51d,SUBSCRIPTION_CREATOR,MONTHLY_FIXED,AVAILABLE,"",KRW,24000000.00,24000000.00,,4000000.00,,2000000.00,2022-10-31 15:00:00,2023-03-31 15:00:00,2023-05-31 15:00:00,,,,2023-01-31 13:39:10,2023-01-31 13:39:10
